texto,label
"Tenho dificuldade em cumprir prazos e frequentemente atraso entregas importantes.",0
"Raramente consigo organizar minhas tarefas de forma eficiente.",0
"Costumo esquecer atividades importantes e isso afeta meu desempenho.",0
"Falto bastante e algumas vezes não aviso o supervisor com antecedência.",0
"Perco o foco com facilidade e demoro para concluir tarefas simples.",0
"Não costumo participar das reuniões e falho em acompanhar o que é discutido.",0
"Tenho problemas em trabalhar sob pressão e fico paralisado diante de desafios.",0
"Muito frequentemente não consigo completar as atividades que me são atribuídas.",0
"Dependo demais dos colegas para realizar tarefas básicas.",0
"Entrega de tarefas quase sempre atrasada e incompleta.",0
"Tenho dificuldade em seguir instruções e cometo erros repetidos.",0
"Não mantenho um ritmo constante de trabalho e falho frequentemente.",0
"Costumo procrastinar e deixar tudo para última hora.",0
"Esqueço compromissos e raramente sigo o planejamento corretamente.",0
"Minha comunicação no time é falha e frequentemente deixo de avisar problemas.",0
"Não costumo revisar meu trabalho e entrego com muitos erros.",0
"Tenho dificuldades constantes em manter organização.",0
"Atraso com frequência e isso impacta negativamente a equipe.",0
"Tenho pouco comprometimento com as responsabilidades diárias.",0
"Preciso ser lembrado várias vezes sobre as tarefas que devo fazer.",0
"Fico distraído e não acompanho o ritmo do time.",0
"Problemas pessoais afetam muito minha produtividade.",0
"Não apresento constância na entrega de resultados.",0
"Não me adapto bem a novos processos e demoro para aprender.",0
"Tenho baixo controle emocional em situações de pressão.",0
"Meu desempenho cai muito quando preciso trabalhar sozinho.",0
"Tenho pouca iniciativa e raramente tomo decisões.",0
"Fico perdido quando recebo muitas tarefas ao mesmo tempo.",0
"Cometo erros por descuido frequentemente.",0
"Não entrego relatórios completos e precisos.",0
"Deixo tarefas acumularem ao longo da semana.",0
"Tenho dificuldade em priorizar o que é urgente.",0
"Não acompanho metas e não busco melhorias.",0
"Minha disciplina no trabalho é baixa.",0
"Costumo ignorar orientações importantes.",0
"Tenho dificuldades em manter o padrão de qualidade exigido.",0
"Fico sem fazer nada quando não recebo instruções diretas.",0
"Me atraso com frequência nas reuniões.",0
"Evito assumir novas responsabilidades.",0
"Não tenho hábito de checar meu e-mail ou recados importantes.",0
"Não demonstro interesse em aprender novas ferramentas.",0
"Erros simples acabam comprometendo o meu trabalho.",0
"Tenho dificuldade em trabalhar em equipe.",0
"Raramente ofereço ajuda quando alguém precisa.",0
"Não mantenho boa comunicação com meus colegas.",0
"Tenho problemas constantes com horário.",0
"Não me esforço para cumprir metas estabelecidas.",0
"Meu rendimento varia muito ao longo da semana.",0
"Tenho baixa motivação e desânimo frequente.",0
"Não concluo atividades iniciadas.",0
"Não registro corretamente informações importantes.",0
"Tenho dificuldade em acompanhar instruções técnicas.",0
"Frequentemente esqueço compromissos do dia.",0
"Perco prazos recorrentes por falta de organização.",0
"Tenho baixa produtividade e pouca entrega.",0
"Não acompanho indicadores nem monitoro meu desempenho.",0
"Tenho dificuldade em manter foco prolongado.",0
"Não demonstro interesse em realizar tarefas novas.",0
"Tenho resistência a mudanças.",0
"Evito assumir atividades que exigem responsabilidade.",0
"Tenho comportamento passivo na maior parte do tempo.",0
